path,folio,folio_correcto
2016\11\traspaso,41,16110058
2016\04\traspaso,56,16040020
2017\01\traspaso,17010616,17010016
2017\01\traspaso,17020026,17010026
2017\04\egreso,20170413,17040075
2017\04\egreso,20170421,17040074
2017\04\traspaso,76201441,17040122
2017\04\traspaso,76201449,17040023
2017\04\traspaso,25101763,17040042
2017\04\traspaso,25117084,17040059
2017\04\traspaso,25141682,17040091
2017\04\traspaso,76204091,17040069
2017\07\traspaso,76070053,17070034
2017\07\traspaso,25763938,17070121
2017\07\traspaso,25776254,17070125
2017\07\traspaso,76201449,17070110
2017\08\traspaso,76201449,17080019
2017\10\traspaso,16201449,17100028
2017\12\traspaso,18315103,17120065
2016\1\traspaso,15120078,16010066
2017\3\traspaso,17036077,17030077
2017\6\traspaso,76201449,17060158
2017\6\traspaso,17076009,17070009
2017\8\traspaso,76201449,17080019
